#,Name,G,MIN,FGM-A,2PER,3PM-A,3PER,FTM-A,FTPER,RO,RD,REB,AST,PF,ST,BS,TO,PTS,RNK
10,"Heinonen, Osku",20,31.1,29-62,46.8,65-151,43,35-40,87.5,0.3,2.2,2.5,1.7,2.5,0.8,0.1,1.4,14.4,11.4
0,Hallgrimsson H.,20,14.3,26-59,44.1,0-8,0,21-36,58.3,1.7,2.1,3.8,1,1.7,0.5,0.7,0.7,3.7,5.7
4,"Arnarson, Hilmir",20,14.7,8-19,42.1,17-42,40.5,5-8,62.5,0.5,1,1.5,0.8,2,0.5,0.3,0.6,3.6,2.4
19,"Okeke, David",19,29.2,129-213,60.6,3-6,50,52-87,59.8,3.5,6,9.5,0.7,2.5,0.5,1.1,1.4,16.8,21.2
33,Hjalmarsson T.,17,8.9,6-8,75,6-17,35.3,1-2,50,0.5,1.2,1.8,0.3,0.9,0.1,0,0.5,1.8,1.6
9,"Jonsson, D",16,14.4,22-47,46.8,1-14,7.1,10-16,62.5,0.7,1,1.7,1.8,1.2,0.8,0.2,1.4,3.6,3.4
7,"Eggertsson, Sigvaldi",15,19.7,18-48,37.5,19-62,30.6,14-19,73.7,1.3,3.2,4.5,1,2.5,0.4,0.5,0.8,7.1,5.9
13,"Gylfason, Breki",14,10.6,11-17,64.7,5-22,22.7,3-10,30,0.5,1.5,2,0.4,1.9,0.2,0.4,0.6,2.9,1.9
34,"Love, Daniel",13,28.2,40-95,42.1,18-46,39.1,38-51,74.5,0.5,3.4,3.9,3.9,2.9,1.9,0.5,2.3,13.2,14
7,"Parsons, DeSean",10,31.7,47-108,43.5,4-21,19,29-48,60.4,2.9,6.9,9.8,2.8,2.9,1.8,0.6,2.5,13.5,16.5
8,Bjorgvinsson K.,9,5.6,2-7,28.6,1-3,33.3,1-2,50,0.2,0.1,0.3,0.4,0.3,0.1,0,0.2,0.9,0.7
3,Halldorsson D.,9,13.8,13-23,56.5,0-14,0,6-8,75,0.8,1.7,2.4,1.4,1.8,0.4,0,1.1,3.6,2.8
23,Tahvanainen V.,8,34.6,21-41,51.2,28-73,38.4,2-3,66.7,1.3,3.1,4.4,2.4,2.1,1.1,0.1,1.5,16,12.6
6,"Richardson, Everage",8,31.9,24-50,48,28-64,43.8,14-18,77.8,1.1,2.5,3.6,5.1,1.3,1.8,0.1,3,18.3,17.6
34,"Moore, Jalen",6,38.2,40-92,43.5,13-41,31.7,45-60,75,0.5,8.7,9.2,8.2,1.3,3.3,0.2,2.8,27.3,33
15,Valgardsson F.,5,2.4,0-0,0,1-2,50,0-0,0,0,0,0,0,0,0,0,0.2,0.6,0.2
9,"Stefansson, Alexander",4,1.8,0-0,0,0-0,0,0-0,0,0,0,0,0,0.5,0,0,0,0,0
12,"Pitts, Damier",4,34.5,11-32,34.4,7-25,28,16-18,88.9,0.3,2.8,3,3.8,2,1.3,0.5,2.3,14.8,11.5
26,"Levy, Eggert",1,2,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,0